Year,YearCode,Country me,Country Code,ari,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,gen_eq_rate,gov_debt,fert_rate,c_gdp,grow_gdp,percap_gdp,gini,percap_healthexp,healthexp_gdp,ishare_low20,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up
2010,YR2010,Eritrea,ERI,,1.72272,69.93399,82.27973156,78.42503921,75.16831683,38.47,3.5,,4.968,1056636372,2.194189769,448.1003027,,12.71147579,1.288293651,,11.57375823,63.575,58.909,61.18509756,39.5,55.9,50.4,61.2,3.244274642,99,99,60.2
2010,YR2010,Estonia,EST,,5.4925,19.2578,48.99002736,22.94479985,22.38735551,11.8,,9.109930881,1.63,13897254467,2.564990907,16611.32788,,897.8908241,5.004880787,,0.300692298,80.5,70.6,75.42926829,3.5,4.4,3.9,4.8,-0.008207632,94,95,31.3
2010,YR2010,Ethiopia,ETH,,2.88234,83.0288,91.3286081,85.00423757,34.985,34.689,3,,4.902,19946243845,9.937345319,879.0422996,,15.49539161,2.55772538,,3.855907596,62.898,60.106,61.46795122,51,76.2,69.5,82.5,2.625877046,63,66,63.8
2010,YR2010,Faeroe Islands,FRO,,,,,,2.148997135,,,,,,,,,,,,,84.4,78.7,81.4804878,,,,,-0.03831379,,,
2010,YR2010,Fiji,FJI,,6.00677,43.8054,51.20631543,43.90533466,23.40448823,21.555,,,2.67,3032066121,0.111136994,4167.193327,,154.7707553,2.948041277,,8.012582944,72.414,66.495,69.38231707,19.3,22.7,20.1,25.2,0.943360267,99,99,21.3
2010,YR2010,Finland,FIN,,6.28978,9.219001,50.69192256,24.87404017,7.538664034,11.4,,49.19876458,1.87,2.04E+11,3.363032326,31321.67696,,3955.189649,6.674848574,,0.342978659,83.2,76.7,79.87073171,2.6,3.1,2.8,3.4,0.457494535,99,98,29.4
2010,YR2010,France,FRA,,5.26575,7.440801,54.21810427,28.30383738,53.22097652,12.9,,89.11862534,2.03,2.20E+12,1.724854544,29521.68133,,4618.458145,8.976436319,,0.960813216,84.8,78.1,81.36829268,3.5,4.3,3.8,4.7,0.506134562,99,89,31.2
2010,YR2010,French Polynesia,PYF,,,39.496,43.90279214,34.18258325,12.15846995,16.966,,,2.11,,,,,,,,,78.029,73.469,75.69339024,,,,,0.994615277,,,
2010,YR2010,Gabon,GAB,,3.06321,107.8006,78.4433106,68.93843167,20.02561416,32.686,,,4.214,9684595588,6.7,12810.78293,,308.6692567,1.823447856,,18.5325326,63.35,61.28,62.2897561,45.3,67.2,61.7,72.6,2.410682988,67,62,68
2010,YR2010,"Gambia, The",GMB,68.8,3.09914,113.8668,94.16995769,89.26961095,60.77075099,43.345,3.5,,5.796,784275580.7,6.526297444,1763.779946,,26.84174636,2.480021003,,4.299804641,59.456,56.874,58.1335122,50.7,78.2,73.1,83,3.161849526,97,92,59.9
2010,YR2010,Georgia,GEO,,2.79289,48.4266,46.01851344,25.25845562,35.52309685,13.815,4.5,36.79972018,1.82,8241335083,6.253027581,4545.903468,42.1,271.6254716,2.400809912,5.03,8.543367383,77.403,70.124,73.67473171,19.1,21.5,18.6,24.2,0.945436152,91,94,23.5
2010,YR2010,Germany,DEU,,4.39411,6.1854,52.01924921,20.38659296,47.91003242,8.3,,55.610501,1.39,2.95E+12,4.012465914,33511.71502,,4654.009456,8.836751863,,1.034071954,82.6,77.5,79.98780488,3.5,4.2,3.8,4.6,-0.153198447,93,97,17.1
2010,YR2010,Gha,GHA,,4.65696,62.0744,73.9184656,67.75071801,69.43834051,32.213,4,,4.052,14804825657,8.007036608,1486.312418,,68.5271628,3.024430232,,16.47657737,61.521,59.722,60.59956098,51.1,76.4,70.7,81.9,2.3830749,94,93,57.5
2010,YR2010,Greece,GRC,,3.24716,11.7806,50.38520634,21.82695874,63.24282389,10.1,,129.2397317,1.51,2.41E+11,-4.943155039,23998.69414,,2872.730798,6.638941557,,1.134929606,83,77.9,80.38780488,4,4.7,4.4,5.1,0.219050225,99,99,22.6
2010,YR2010,Greenland,GRL,,,,,,0.574735047,15.3,,,2.2,,,,,,,,,72.8,67.8,70.23902439,,,,,1.028023326,,,
2010,YR2010,Greda,GRD,,3.75304,38.178,53.2718343,42.16560425,32.35294118,19.457,4.5,,2.24,672704074.1,-0.04152375,9496.54625,,438.4120364,2.633685352,,1.085760608,74.841,69.952,72.33687805,11.8,14,12.9,15.2,0.364640812,97,95,
2010,YR2010,Guam,GUM,,,48.9316,53.29884635,42.16102753,33.33333333,17.781,,,2.472,,,,,,,,,80.942,75.395,78.10085366,,,,,0.514996689,,,
2010,YR2010,Guatemala,GTM,,2.89353,101.2128,84.98060305,76.80739674,41.01343785,32.193,,24.41978736,3.974,32556756309,2.869481449,4309.051666,,196.8998609,2.389584534,,5.141909138,74.609,67.555,70.99597561,28.3,34.3,30.7,37.7,2.489228283,94,93,37.2
2010,YR2010,Guinea,GIN,,2.31043,140.1908,85.20703639,79.33899181,57.95214065,38.172,3.5,,5.174,3267609255,1.936217423,897.9452165,,29.41280344,2.01180028,,20.1995783,56.075,54.558,55.298,69.9,109.5,104.3,114.5,2.634474394,64,58,60.4
2010,YR2010,Guinea-Bissau,GNB,52.1,2.28879,108.9898,81.34317614,75.98811291,57.9658606,38.585,2.5,,5.115,676484295.8,1.718401556,1034.950348,,38.21673343,2.312285306,,3.472523585,55.115,52.076,53.55843902,85.2,137.1,126.6,147.1,2.276985694,80,69,58
2010,YR2010,Guya,GUY,,3.42802,93.49001,68.94563606,63.45320402,8.519177038,21.585,3.5,,2.682,918902044.8,4.370869417,2682.106978,,168.5663604,4.477199963,,6.702989858,68.328,63.202,65.7024878,30.5,37.3,32.3,42.1,0.647151503,95,95,51.8
2010,YR2010,Haiti,HTI,,1.46165201,43.7398,68.3872241,60.87532399,64.22351234,26.75,3,,3.35,4307682995,-5.416012559,1002.139874,,45.56015949,2.744385328,,4.726625491,63.704,60.117,61.8667561,73.1,175.1,165.8,183.6,1.335082224,60,58,58.3
2010,YR2010,Honduras,HND,,3.546232205,87.618,69.77558638,62.4690605,28.77826437,26.831,4,,3.154,11546149370,3.731075443,3530.947869,,176.4281163,4.335787356,,4.676108788,75.357,70.463,72.85031707,20.9,24.7,21.7,27.5,2.006024707,95,98,41
2010,YR2010,"Hong Kong SAR, Chi",HKG,,3.06454,3.199,33.40586389,16.20077063,,12.6,,35.55814075,1.127,2.20E+11,6.793283695,42848.02138,,,,,0.272058845,86,80.1,82.97804878,,,,,0.734446396,,,
2010,YR2010,Hungary,HUN,,4.93549,15.1054,45.69835293,21.33625843,59.01910969,9,,82.9759946,1.25,1.09E+11,1.258152876,16958.29498,,1002.03141,5.045797711,,2.188421293,78.1,70.5,74.20731707,5.6,6.5,6,7.1,-0.226013876,99,99,9.8
2010,YR2010,Iceland,ISL,,8.96195,12.6128,49.39966205,31.25422734,15.87032419,15.4,,111.5414615,2.2,16388130235,-4.098777486,32755.28755,,3667.511161,7.460458263,,6.919123411,84.1,79.8,81.89756098,1.9,2.5,2.2,2.7,-0.143903,96,93,29
2010,YR2010,India,IND,,3.08236,39.9062,54.41669707,46.59104149,60.45997733,21.281,3.5,50.42909228,2.563,1.25E+12,10.546392,3121.615618,33.9,51.35615469,1.055149054,8.54,8.857825474,67.469,64.004,65.6942439,47.1,61.2,64.3,58.3,1.292848795,72,74,38.2
2010,YR2010,Indonesia,IDN,,2.72764,49.5988,53.46522097,45.77725368,30.13960267,20.051,,26.00774808,2.434,3.78E+11,6.223852323,3873.133874,35.57,84.06421374,1.026802292,7.63,8.257201248,72.232,68.202,70.16785366,27.8,33.6,29.6,37.5,1.3341207,62,75,38.4
2010,YR2010,"Iran, Islamic Rep.",IRN,,4.11034,31.5844,40.40229137,33.15839552,29.9260078,19.11,,,1.904,,,,,302.0277145,2.125906856,,,75.098,71.256,73.13014634,16.5,19.2,18.2,20.2,1.242350137,99,99,20.6
