"","adjsav_eduexp","ado_fert_rate","agedep_work","agedep_young","agrland","brate","fert_rate","c_gdp","grow_gdp","percap_gdp","percap_healthexp","healthexp_gdp","de_gdp","lifeexp_f","lifeexp_m","mortrate_un5f","mortrate_un5m","grow_pop","immu_dpt","immu_mea","hiv_fe15up","CO2emission","cluster","cluster_k3"
"IRN",4.11,31.58,40.4,33.16,29.93,19.11,1.9,149006121282.891,4.5107,11374.1178,302.03,2.13,8.3841,75.1,71.26,18.2,20.2,1.24,99,99,20.6,7.47,2,"2"
"IRQ",4.7022,70.84,80.51,74.42,18.9,32.32,4.21,45092292873,5.86,3270.35,246.75,6.92,14.63,72.6,65.24,32.8,39.5,2.65,74,75,43.135,4.04,1,"1"
"IRL",5.95,11.54,48.51,31.7,66.31,16.5,2.07,2.07e+11,-0.77,36785.91,4241.64,6.35,-1.83,83.2,78.7,3.8,4.6,0.35,94,90,29.6,8.91,2,"3"
"ISR",5.64,10.28,60.44,43.7,23.91,21.8,3.03,1.65e+11,5.66,26197.48,2197.9,4.74,6.98,83.6,79.7,4.2,4.8,1.83,94,96,30.4,9.25,2,"3"
"ITA",4.43,5.08,52.28,21.38,48.69,9.3,1.41,1.76e+12,1.72,27059.1,3246.85,7.41,0.39,84.4,79.2,3.6,4.3,0.48,96,91,10.4,6.84,2,"3"
"JAM",5.77,72.96,58.44,46.01,41.46,15.3,2.33,131829136833.876,-1.48,7709.3399,258.65,2.88,9.88,75.51,70.31,15.4,20.1,0.21,99,89,34.2,2.66,2,"2"
"JOR",5.61,27.66,62.56,57.03,11.29,28.87,3.46,17030688372,2.31,5248.54,370.01,5.63,8.44,75.08,71.87,19.2,21.4,2.19,98,98,37.884,2.78,2,"2"
"KAZ",4.41,29.19,46.12,36.4,77.29,22.53,2.59,77245319067,7.3,10915.66,395.06,2.53,19.54,73.32,63.51,18.5,25.2,1.42,99,99,38,13.7,2,"2"
"KEN",5.92,96.25,82.42,77.65,48.23,36.68,4.62,23516785868,5.76,1471.08,34.86,1.76,1.97,61.16,58.01,73.9,83.8,2.69,83,86,56.9,0.3,1,"1"
"KIR",4.7715,18.83,59.86,53.7,41.98,23.41,3.05,110681568.6,-0.5,2239.02,161.91,8.65,1.12,70.77,65.14,57.6,67.6,1.52,91,89,39.11,0.49,2,"2"
"KOR",4.22,2.18,37.59,22.35,18.26,9.4,1.23,1.02e+12,6.32,26774.04,1451.78,4.12,3.61,84.1,77.2,3.8,4.4,0.46,94,98,29.4,11.59,2,"3"
"KWT",3.19,14.72,37.65,34.7,8.53,21.31,2.67,86235752843,-2.37,39403.14,1224.97,2.11,15.51,75.13,73.24,10.3,12.1,4.84,98,98,33.51,26.15,2,"3"
"KGZ",5.96,29.46,52.62,45.86,55.33,26.8,3.06,3055806771,-0.47,2026.37,59.84,3.71,10.03,73.5,65.3,26.7,34,1.19,96,99,18.7,1.17,2,"2"
"LAO",1.06,69.05,68.08,61.8,10.3,28.23,3.29,4021824832,8.53,2242.12,30.31,1.22,10.02,68.25,65.62,72.9,83.5,2.02,74,64,46,0.46,1,"1"
